season,week,event_date,tm_location,opp_location,tm_nano,tm_market,tm_name,tm_alias,tm_alt_market,opp_nano,opp_market,opp_name,opp_alias,opp_alt_market,player,age,started,dnp,dnp_reason,rush_att,rush_yds,rush_yds_per_att,rush_tds,targets,rec,rec_yds,rec_yds_per_rec,rec_tds,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_tds,pass_int,passer_rating,times_sacked,yds_sacked_for,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_tds,scoring,sacks,tackles_solo,tackles_assists,tackles_combined,tackles_loss,qb_hits,fumbles,fumbles_lost,fumbles_forced,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,def_int,def_int_yds,def_int_tds,pass_defended,punt,punt_yds,punt_yds_per_punt,punt_ret_yds_opp,punt_net_yds,punt_net_yds_per_punt,punt_tb,punt_tb_pct,punt_in_20,punt_in_20_pct,punt_blocked,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tds,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_tds,snap_count_offense,snap_count_offense_pct,snap_count_defense,snap_count_defense_pct,snap_count_special_teams,snap_count_special_teams_pct,player_stats_link
2008,15,2008-12-14,H,A,LZoDld8s63xUs,Las Vegas,Raiders,LV,oak,VkxV91RtzHn65,New England,Patriots,NE,nwe,Hiram Eugene,28.02,0,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/E/EugeHi99.htm/gamelog/
2008,16,2008-12-21,H,A,LZoDld8s63xUs,Las Vegas,Raiders,LV,oak,UI0Ax4HUEXFh6,Houston,Texans,HOU,hou,Hiram Eugene,28.027,1,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/E/EugeHi99.htm/gamelog/
2008,17,2008-12-28,A,H,LZoDld8s63xUs,Las Vegas,Raiders,LV,oak,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,tam,Hiram Eugene,28.034,1,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/E/EugeHi99.htm/gamelog/
2008,1,2008-09-08,H,A,LZoDld8s63xUs,Las Vegas,Raiders,LV,oak,6DclFuycdPaOB,Denver,Broncos,DEN,den,Mario Henderson,,0,1,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/H/HendMa21.htm/gamelog/
2008,2,2008-09-14,A,H,LZoDld8s63xUs,Las Vegas,Raiders,LV,oak,oiGiwWPf0UqMC,Kansas City,Chiefs,KC,kan,Mario Henderson,23.321,1,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/H/HendMa21.htm/gamelog/
2008,3,2008-09-21,A,H,LZoDld8s63xUs,Las Vegas,Raiders,LV,oak,3VqeLK0LS9rpw,Buffalo,Bills,BUF,buf,Mario Henderson,23.328,1,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/H/HendMa21.htm/gamelog/
2008,4,2008-09-28,H,A,LZoDld8s63xUs,Las Vegas,Raiders,LV,oak,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,sdg,Mario Henderson,23.335,0,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/H/HendMa21.htm/gamelog/
2008,6,2008-10-12,A,H,LZoDld8s63xUs,Las Vegas,Raiders,LV,oak,CI5mhfNa0Zqd2,New Orleans,Saints,NO,nor,Mario Henderson,,0,1,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/H/HendMa21.htm/gamelog/
2008,7,2008-10-19,H,A,LZoDld8s63xUs,Las Vegas,Raiders,LV,oak,mexvMWO2v1hWn,New York,Jets,NYJ,nyj,Mario Henderson,,0,1,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/H/HendMa21.htm/gamelog/
2008,8,2008-10-26,A,H,LZoDld8s63xUs,Las Vegas,Raiders,LV,oak,zyhFXj1nywrm1,Baltimore,Ravens,BAL,bal,Mario Henderson,,0,1,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/H/HendMa21.htm/gamelog/
